candidate_id,source,source_type,artifact_path,candidate_status,reason,row_count,sha256,restored_to
CAND_cf642b9_revp_observed_event_registry_v2dz.csv,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,git_untracked_files_commit,outputs_public/tables/revp_observed_event_registry_v2dz.csv,VALID_RESTORED,"conteudo real de blob Git com hash origem/destino, schema e guardrails validados",53,55cbd3758cb4b1b29f1a52eabdc4a29fe9ac911d6aaa05896205dc40b75f1adc,outputs_public/tables/revp_observed_event_registry_v2dz.csv
CAND_cf642b9_revp_evidence_packet_registry_v2ea.csv,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,git_untracked_files_commit,outputs_public/tables/revp_evidence_packet_registry_v2ea.csv,VALID_RESTORED,"conteudo real de blob Git com hash origem/destino, schema e guardrails validados",53,ccbe238f0e23d80245a40bb7d351d17fa8bd8605a49f816cbf3beef497cadbc8,outputs_public/tables/revp_evidence_packet_registry_v2ea.csv
CAND_cf642b9_revp_patch_event_temporal_alignment_v2eb.csv,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,git_untracked_files_commit,outputs_public/tables/revp_patch_event_temporal_alignment_v2eb.csv,VALID_RESTORED,"conteudo real de blob Git com hash origem/destino, schema e guardrails validados",53,00b8d73ff945cebf5737f24cad4d41bb2ca734df8e829f3d2044320be7d8b9ff,outputs_public/tables/revp_patch_event_temporal_alignment_v2eb.csv
CAND_cf642b9_revp_patch_event_spatial_binding_v2ec.csv,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,git_untracked_files_commit,outputs_public/tables/revp_patch_event_spatial_binding_v2ec.csv,VALID_RESTORED,"conteudo real de blob Git com hash origem/destino, schema e guardrails validados",53,750f7bfa8243c87575ee07ad97fe641423bacc5d87a98b3b8d4539ae55c55dbc,outputs_public/tables/revp_patch_event_spatial_binding_v2ec.csv
CAND_cf642b9_revp_human_review_queue_v2ed.csv,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,git_untracked_files_commit,outputs_public/tables/revp_human_review_queue_v2ed.csv,VALID_RESTORED,"conteudo real de blob Git com hash origem/destino, schema e guardrails validados",53,d10d3db1df2d6e0fc17e556f1642e5033cf59434052f6bc9b15bdc33b93ea42c,outputs_public/tables/revp_human_review_queue_v2ed.csv
CAND_cf642b9_revp_formal_label_gate_evaluator_v2ee.csv,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,git_untracked_files_commit,outputs_public/tables/revp_formal_label_gate_evaluator_v2ee.csv,VALID_RESTORED,"conteudo real de blob Git com hash origem/destino, schema e guardrails validados",53,0edb5c1d6aefb23248d7be629dd456086dcd899900f1f124c05a4a8a7cde94b5,outputs_public/tables/revp_formal_label_gate_evaluator_v2ee.csv
CAND_cf642b9_revp_ground_truth_closure_dashboard_v2ef.csv,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,git_untracked_files_commit,outputs_public/tables/revp_ground_truth_closure_dashboard_v2ef.csv,VALID_RESTORED,"conteudo real de blob Git com hash origem/destino, schema e guardrails validados",53,29efcce578bb5f311ff7ee84d8684245fde75fc8c8be5d8cef0f9c030edfab7a,outputs_public/tables/revp_ground_truth_closure_dashboard_v2ef.csv
CAND_cf642b9_revp_v2dz_to_v2ef_common.py,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,git_untracked_files_commit,scripts/ground_truth/revp_v2dz_to_v2ef_common.py,VALID_RESTORED,"conteudo real de blob Git com hash origem/destino, schema e guardrails validados",,69cefcebfd0c79774b919a08876ecb44acb443bca98828bbaad8f2ec5f0d5f77,scripts/ground_truth/revp_v2dz_to_v2ef_common.py
CAND_cf642b9_revp_v2dz_to_v2ef_orchestrator.py,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,git_untracked_files_commit,scripts/ground_truth/revp_v2dz_to_v2ef_orchestrator.py,VALID_RESTORED,"conteudo real de blob Git com hash origem/destino, schema e guardrails validados",,b015164f7d3b54e9c6fc3a2c7a445e8567e0595caf386d6c1e247f20c3ed7c76,scripts/ground_truth/revp_v2dz_to_v2ef_orchestrator.py
CAND_cf642b9_test_revp_v2dz_to_v2ef_orchestrator.py,cf642b9b833e09fa8bbd6390ba676f8b754ac7c4,git_untracked_files_commit,tests/test_revp_v2dz_to_v2ef_orchestrator.py,VALID_RESTORED,"conteudo real de blob Git com hash origem/destino, schema e guardrails validados",,f5f3038d59fa712135db27549ad9a164853a9ebdebfa4331ac747c4ea2276888,tests/test_revp_v2dz_to_v2ef_orchestrator.py
REJ_head_missing,HEAD/current worktree,current_head,,REJECTED,arquivos alvo ausentes antes da restauracao; nao era fonte completa,,,
REJ_diff_absent,revp_public_repository_curation.diff,file_search,,REJECTED,arquivo diff nao encontrado,,,
REJ_textual_log_refs,git log --all --name-only --oneline,textual_reference,,REJECTED,"nomes apareceram no log, mas a fonte restauravel foi isolada como cf642b9",,,
REJ_reflog_refs,git reflog --date=iso,textual_reference,,REJECTED,reflog aponta checkout e commit de auditoria; nao contem arquivo por si so,,,
REJ_fsck_unreachable,git fsck --no-reflogs --unreachable,unreachable_scan,,REJECTED,nenhum commit unreachable inspecionado apresentou nomes alvo,,,
REJ_temp_pytest,%TEMP%/pytest-of-gabriela,generated_test_output,,REJECTED,"arquivos em temp sao saidas de teste, nao origem original rastreavel",,,
REJ_downloads_desktop_onedrive,Downloads/Desktop/OneDrive,filesystem_search,,REJECTED,nenhum pacote fonte completo encontrado,,,
