replay_audit_id,light_artifact_manifest_id,artifact_exists,sha256_matches,replay_without_network,derived_outputs_recreated,byte_identical_replay,blocking_reason,review_only
S17C20_REPLAY_0001,S17C20_MANIFEST_0001_A,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0002,S17C20_MANIFEST_0001_B,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0003,S17C20_MANIFEST_0001_C,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0004,S17C20_MANIFEST_0002_A,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0005,S17C20_MANIFEST_0002_B,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0006,S17C20_MANIFEST_0002_C,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0007,S17C20_MANIFEST_0003_A,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0008,S17C20_MANIFEST_0003_B,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0009,S17C20_MANIFEST_0003_C,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0010,S17C20_MANIFEST_0004_A,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0011,S17C20_MANIFEST_0004_B,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0012,S17C20_MANIFEST_0004_C,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0013,S17C20_MANIFEST_0005_A,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0014,S17C20_MANIFEST_0005_B,true,true,true,true,true,not_applicable,true
S17C20_REPLAY_0015,S17C20_MANIFEST_0005_C,true,true,true,true,true,not_applicable,true
