qa_queue_id,ground_reference_candidate_id,patch_reference_link_id,qa_priority,qa_question,evidence_to_review,expected_decision_values,blocking_if_unresolved,review_only
S18C_QA_0001,S18C_GRC_0001,S18C_PRL_0001,high,A data do evento e precisa o suficiente para janela pre-evento?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0002,S18C_GRC_0001,S18C_PRL_0001,high,A geometria (ponto geocodificado ~800m) e precisa o suficiente para o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0003,S18C_GRC_0001,S18C_PRL_0001,high,O fenomeno documentado e hidrologico compativel com o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0004,S18C_GRC_0002,S18C_PRL_0002,high,A data do evento e precisa o suficiente para janela pre-evento?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0005,S18C_GRC_0002,S18C_PRL_0002,high,A geometria (ponto geocodificado ~800m) e precisa o suficiente para o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0006,S18C_GRC_0002,S18C_PRL_0002,high,O fenomeno documentado e hidrologico compativel com o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0007,S18C_GRC_0003,S18C_PRL_0003,high,A data do evento e precisa o suficiente para janela pre-evento?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0008,S18C_GRC_0003,S18C_PRL_0003,high,A geometria (ponto geocodificado ~800m) e precisa o suficiente para o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0009,S18C_GRC_0003,S18C_PRL_0003,high,O fenomeno documentado e hidrologico compativel com o patch?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
S18C_QA_0010,S18C_GRC_0004,S18C_PRL_0004,high,A data do evento e precisa o suficiente para janela pre-evento?,defesa_civil_recife_occurrence;geocoded_street_level_17c32;uncertainty=800m,accepted;rejected;ambiguous;needs_more_source;phenomenon_mismatch;temporal_mismatch;spatial_mismatch,true,true
