audit_id,source_file,rows_scanned,abs_path_hits,lr_exposure_hits,forbidden_true_hits,forbidden_phrase_hits,total_violations,audit_status,review_only,automated_review,internal_review_automated_for_review_only,requires_external_observational_evidence_for_operational_claim,automatic_c3_promotion,c4_opened,can_create_operational_label,can_train_model,target_created,ground_truth_operational,formal_negative,dino_validates_event,hydromet_validates_event,hydromet_is_negative_evidence,absence_as_negative,notes
V1TV_tn,protocol_c_unified_evidence_case_index_v1tn.csv,9,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_to,protocol_c_unified_single_case_workspace_v1to.csv,9,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_to,protocol_c_unified_single_case_workspace_sections_v1to.csv,81,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_tp,protocol_c_automated_reviewer_ab_decisions_v1tp.csv,18,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_tq,protocol_c_review_consensus_divergence_adjudication_v1tq.csv,9,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_tr,protocol_c_automated_supervisor_adjudication_v1tr.csv,9,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_ts,protocol_c_single_flow_review_export_v1ts.csv,9,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_ts,protocol_c_single_flow_review_export_sections_v1ts.csv,108,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_tt,protocol_c_tcc_table_automated_review_case_status_v1tt.csv,9,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_tt,protocol_c_tcc_table_automated_review_outcomes_v1tt.csv,9,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_tt,protocol_c_tcc_table_review_blockers_v1tt.csv,9,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_tt,protocol_c_tcc_table_claim_safety_v1tt.csv,9,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
V1TV_tu,protocol_c_proof_of_review_only_validation_audit_v1tu.csv,9,0,0,0,0,0,GUARDRAIL_CLEAN,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,
