smoke_id,execution_queue_id,visual_asset_id,patch_id,alias,region,relative_path,path_hash,visual_type,sample_rank,selection_reason,linkage_confidence,dino_allowed_use,can_create_label,can_train_model,target_created,selected_for_smoke,expected_filename,expected_file_found,link_status,blocked_reason,notes
V1QH_SMK_00013,V1QA_EQ_00005,V1PU_VA_00005,CUR_00367,CUR_00367,CURITIBA,curitiba/curitiba_00367__rgb_preview.png,cf6afec88877a2f8,SENTINEL_TIF_REFERENCE,13,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,curitiba/curitiba_00367__rgb_preview.png,true,LINKED_RELATIVE_PATH_READY,,
V1QH_SMK_00014,V1QA_EQ_00006,V1PU_VA_00006,CUR_00402,CUR_00402,CURITIBA,curitiba/curitiba_00402__rgb_preview.png,a8159194f9ba37c8,SENTINEL_TIF_REFERENCE,14,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,curitiba/curitiba_00402__rgb_preview.png,true,LINKED_RELATIVE_PATH_READY,,
V1QH_SMK_00015,V1QA_EQ_00007,V1PU_VA_00007,CUR_00409,CUR_00409,CURITIBA,curitiba/curitiba_00409__rgb_preview.png,a352305b272e2d7c,SENTINEL_TIF_REFERENCE,15,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,curitiba/curitiba_00409__rgb_preview.png,true,LINKED_RELATIVE_PATH_READY,,
V1QH_SMK_00016,V1QA_EQ_00008,V1PU_VA_00008,CUR_00410,CUR_00410,CURITIBA,curitiba/curitiba_00410__rgb_preview.png,e51e301e1b267b3a,SENTINEL_TIF_REFERENCE,16,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,curitiba/curitiba_00410__rgb_preview.png,true,LINKED_RELATIVE_PATH_READY,,
V1QH_SMK_00017,V1QA_EQ_00009,V1PU_VA_00009,CUR_00413,CUR_00413,CURITIBA,curitiba/curitiba_00413__rgb_preview.png,1ecda0289054c9e9,SENTINEL_TIF_REFERENCE,17,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,curitiba/curitiba_00413__rgb_preview.png,true,LINKED_RELATIVE_PATH_READY,,
V1QH_SMK_00018,V1QA_EQ_00010,V1PU_VA_00010,CUR_00416,CUR_00416,CURITIBA,curitiba/curitiba_00416__rgb_preview.png,5144380a61da7d69,SENTINEL_TIF_REFERENCE,18,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,curitiba/curitiba_00416__rgb_preview.png,true,LINKED_RELATIVE_PATH_READY,,
V1QH_SMK_00019,V1QA_EQ_00011,V1PU_VA_00011,CUR_00445,CUR_00445,CURITIBA,curitiba/curitiba_00445__rgb_preview.png,ab1c6bd523ed660f,SENTINEL_TIF_REFERENCE,19,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,curitiba/curitiba_00445__rgb_preview.png,true,LINKED_RELATIVE_PATH_READY,,
V1QH_SMK_00020,V1QA_EQ_00012,V1PU_VA_00012,CUR_00446,CUR_00446,CURITIBA,curitiba/curitiba_00446__rgb_preview.png,b2517c26b2e65e1a,SENTINEL_TIF_REFERENCE,20,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,curitiba/curitiba_00446__rgb_preview.png,true,LINKED_RELATIVE_PATH_READY,,
V1QH_SMK_00021,V1QA_EQ_00013,V1PU_VA_00013,CUR_00597,CUR_00597,CURITIBA,curitiba/curitiba_00597__rgb_preview.png,5e56e84ce0566196,SENTINEL_TIF_REFERENCE,21,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,curitiba/curitiba_00597__rgb_preview.png,true,LINKED_RELATIVE_PATH_READY,,
V1QH_SMK_00022,V1QA_EQ_00014,V1PU_VA_00014,CUR_00661,CUR_00661,CURITIBA,curitiba/curitiba_00661__rgb_preview.png,7f13dd125eac5399,SENTINEL_TIF_REFERENCE,22,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,curitiba/curitiba_00661__rgb_preview.png,true,LINKED_RELATIVE_PATH_READY,,
