check_id,check_name,expected,observed,passed,severity,notes
QC01,review_template_exists,present,present,true,high,
QC02,response_validation_exists,present,present,true,high,
QC03,waiting_status_when_no_responses,consistent,ok,true,high,
QC04,ab_packets_preserved,>=0,16,true,medium,
QC05,completed_reviews_require_ab,true,true,true,critical,
QC06,disagreements_flagged,consistent,0,true,medium,
QC07,supervisor_packets_require_completed_review,true,true,true,critical,
QC08,no_c3_operational_without_supervisor,true,true,true,critical,
QC09,c3_candidates_require_supervisor,true,true,true,critical,supervisor_review_required preserved upstream
QC10,labels_created_zero,0,0,true,critical,
QC11,targets_created_zero,0,0,true,critical,
QC12,ground_truth_operational_zero,0,0,true,critical,
QC13,formal_negative_zero,0,0,true,critical,
QC14,no_dino_as_proof,true,true,true,critical,dino_validates_event=false
QC15,no_absence_as_negative,true,true,true,critical,absence_as_negative=false
QC16,no_absolute_paths,0,0,true,critical,
QC17,no_forbidden_literal_exposure,0,0,true,critical,
QC18,blocked_rows_have_reason,0_missing,0,true,high,
QC19,forbidden_true_fields,0,0,true,critical,
